club,league,jersey_colour,stadium,formation,playing_style,goals_scored,goals_conceded,xG,xGA,xA,shots_per90,passes_per90,pass_accuracy,ppda,tackles_per90,interceptions_per90,saves_per90,progressive_passes,pressing_intensity
Manchester City,Premier League,Sky Blue,Etihad,4-3-3,Possession,92,34,88.5,32.1,65.2,17.2,650,91.2,7.5,15.3,9.8,2.3,72,High
Roma,Serie A,Red,Olimpico,3-5-2,Counter,70,48,72.0,49.5,48.5,14.5,530,86.0,10.5,17.5,11.5,2.9,60,Medium
Ajax,Eredivisie,Red/White,Johan Cruyff Arena,4-3-3,Possession,90,35,88.0,34.0,65.0,18.5,650,91.0,7.0,14.5,9.0,2.1,78,High
Atletico Madrid,La Liga,Red/White,Metropolitano,4-4-2,Defensive,70,30,68.2,29.1,45.6,13.2,520,85.3,12.0,18.0,12.5,2.5,58,Low
Borussia Dortmund,Bundesliga,Yellow,Signal Iduna Park,4-2-3-1,Attacking,82,48,80.0,50.2,55.0,17.5,580,87.5,8.5,15.5,10.0,2.4,70,Medium
Arsenal,Premier League,Red/White,Emirates,4-3-3,Possession,85,38,82.1,35.5,60.8,16.1,610,89.5,8.2,16.8,10.5,2.5,68,High
Inter Milan,Serie A,Blue/Black,San Siro,3-5-2,Balanced,85,32,82.0,30.0,58.0,16.5,570,88.5,9.0,16.0,10.0,2.2,68,Medium
Real Betis,La Liga,Green/White,Villamarin,4-2-3-1,Possession,64,49,67.0,51.5,45.5,14.8,570,88.1,9.8,16.5,10.5,2.7,62,Medium
Bayern Munich,Bundesliga,Red,Allianz Arena,4-2-3-1,Attacking,95,36,90.5,34.0,68.2,19.0,620,89.0,7.0,14.0,8.5,2.0,78,High
Brighton,Premier League,Blue/White,Amex,4-2-3-1,Build-up,69,48,72.3,49.9,49.8,15.7,620,89.9,8.9,16.7,10.4,2.7,69,High
Napoli,Serie A,Blue,Maradona,4-3-3,Possession,82,38,80.0,36.5,55.0,16.2,580,88.8,8.5,15.5,9.5,2.3,70,High
Real Sociedad,La Liga,Blue/White,Anoeta,4-3-3,Possession,68,42,70.5,44.3,48.1,14.5,575,88.7,9.2,16.2,10.2,2.6,63,High
RB Leipzig,Bundesliga,Red,Red Bull Arena,4-2-2-2,Pressing,78,42,79.2,43.1,52.0,16.8,570,87.0,7.8,17.8,11.5,2.3,68,High
Chelsea,Premier League,Blue,Stamford Bridge,4-2-3-1,Possession,72,45,75.0,48.0,52.3,15.3,605,88.6,9.5,17.0,10.8,2.9,66,Medium
Fiorentina,Serie A,Purple,Franchi,4-2-3-1,Possession,65,52,68.0,53.5,47.5,14.8,570,88.0,9.5,16.2,10.2,2.7,64,Medium
Villarreal,La Liga,Yellow,Ceramica,4-4-2,Attacking,66,48,69.3,50.1,46.0,15.2,560,87.4,10.0,16.8,10.9,2.8,61,Medium
Bayer Leverkusen,Bundesliga,Red/Black,BayArena,3-4-2-1,Possession,85,40,84.0,38.2,60.5,18.0,600,89.2,7.2,15.2,9.2,2.1,74,High
Aston Villa,Premier League,Claret/Blue,Villa Park,4-4-2,Counter,71,46,73.5,47.2,47.9,14.9,545,86.5,10.1,17.5,11.3,3.1,62,Medium
Juventus,Serie A,Black/White,Allianz Stadium,3-5-2,Defensive,68,30,65.0,28.5,44.0,13.0,540,87.0,11.5,18.5,12.0,2.4,58,Low
Sevilla,La Liga,White,Ramon Sanchez,4-2-3-1,Balanced,65,50,66.0,52.4,44.2,14.0,540,86.0,10.8,17.0,11.0,2.9,60,Medium
Frankfurt,Bundesliga,Black/Red,Deutsche Bank Park,3-4-2-1,Transition,70,55,72.0,57.0,48.0,15.0,540,85.5,10.5,17.0,11.8,2.8,60,Medium
West Ham,Premier League,Claret/Blue,London Stadium,4-2-3-1,Direct,60,55,62.0,58.4,42.3,13.8,480,83.4,12.5,18.0,12.7,3.5,55,Low
Lazio,Serie A,Sky Blue,Olimpico,4-3-3,Balanced,72,50,74.0,52.0,49.0,15.0,540,86.8,10.0,17.0,11.0,2.8,62,Medium
Athletic Bilbao,La Liga,Red/White,San Mames,4-2-3-1,Pressing,67,44,69.8,45.0,46.8,15.5,550,86.9,8.5,17.5,11.2,2.6,64,High
Stuttgart,Bundesliga,White,Mercedes-Benz,4-3-3,Attacking,75,50,77.5,52.0,50.0,16.5,550,86.5,9.5,16.0,10.8,2.6,65,Medium
Tottenham,Premier League,White,NWHL,4-3-3,Attacking,78,55,80.4,57.3,54.7,17.8,580,87.2,10.5,15.9,9.9,3.0,67,Medium
Atalanta,Serie A,Blue/Black,Gewiss,3-4-1-2,Attacking,80,55,83.0,57.5,57.0,18.5,560,86.5,8.0,16.0,10.0,2.6,72,High
Valencia,La Liga,White,Mestalla,4-4-2,Counter,60,55,61.0,56.0,40.0,13.5,520,85.0,11.5,17.8,12.2,3.1,58,Low
Wolfsburg,Bundesliga,Green,Volkswagen Arena,4-2-3-1,Balanced,62,58,64.5,60.0,44.0,14.0,520,84.8,11.2,17.5,12.0,3.0,58,Medium
Leicester City,Premier League,Blue,King Power,4-2-3-1,Counter,58,52,60.5,53.0,40.0,13.5,500,84.7,11.8,17.2,11.8,3.4,57,Medium
Torino,Serie A,Maroon,Olimpico Torino,3-4-2-1,Defensive,55,50,56.0,52.0,38.0,12.5,500,84.0,12.5,18.5,12.5,3.3,55,Low
Nice,Ligue 1,Red/Black,Allianz Riviera,4-4-2,Defensive,60,45,62.0,46.0,42.0,13.5,530,86.0,11.5,18.0,12.5,3.0,55,Low
PSV,Eredivisie,Red/White,Philips Stadion,4-3-3,Attacking,88,38,86.0,37.0,63.0,18.0,640,90.0,7.5,15.0,9.5,2.2,76,High
Celtic,Scotland,Green/White,Celtic Park,4-3-3,Attacking,95,25,90.0,24.0,65.0,18.5,630,90.0,6.5,14.0,8.5,2.0,80,High
Monaco,Ligue 1,Red/White,Louis II,4-4-2,Attacking,80,60,82.0,62.0,55.0,17.5,570,87.2,8.0,16.0,10.0,2.5,70,Medium
Feyenoord,Eredivisie,Red/White,De Kuip,4-3-3,Pressing,85,40,83.0,39.0,60.0,17.5,620,89.0,8.0,16.0,10.0,2.3,74,High
Rangers,Scotland,Blue,Ibrox,4-3-3,Pressing,88,30,85.0,28.0,60.0,17.5,610,89.0,7.5,15.5,9.5,2.2,75,High
Real Madrid,La Liga,White,Bernabeu,4-3-3,Possession,91,34,86.0,33.0,63.0,17.0,605,90.0,8.0,15.0,9.0,2.2,71,High
Liverpool,Premier League,Red,Anfield,4-3-3,Gegenpress,87,43,83.5,41.0,58.0,18.0,585,87.5,7.0,18.0,11.0,2.6,69,Very High
Barcelona,La Liga,Blue/Red,Camp Nou,4-3-3,Possession,89,37,84.5,35.0,64.5,17.3,645,91.5,7.4,14.7,8.6,2.1,74,High
Marseille,Ligue 1,White,Velodrome,4-3-3,Pressing,75,50,77.0,52.5,52.0,16.5,560,87.0,8.5,17.0,11.0,2.6,68,High
Lyon,Ligue 1,White,Groupama,4-2-3-1,Attacking,72,55,74.0,57.0,50.0,16.0,550,86.5,9.5,16.5,10.5,2.7,66,Medium
Bologna,Serie A,Red/Blue,Dall'Ara,4-2-3-1,Balanced,60,48,62.0,49.0,42.0,13.8,520,85.5,11.0,17.2,11.8,3.0,58,Medium
Getafe,La Liga,Blue,Coliseum,4-4-2,Defensive,50,55,52.0,56.0,35.0,12.0,480,82.5,13.5,19.0,13.5,3.7,48,Low
Mainz,Bundesliga,Red,MEWA Arena,3-4-2-1,Pressing,58,57,60.0,58.0,40.0,13.5,510,84.5,11.5,18.5,12.5,3.2,55,Medium
Crystal Palace,Premier League,Red/Blue,Selhurst Park,4-3-3,Counter,55,53,57.0,54.0,38.0,13.0,500,84.0,12.0,18.0,12.0,3.3,54,Low
Sassuolo,Serie A,Green/Black,Mapei Stadium,4-2-3-1,Attacking,62,60,64.0,61.0,45.0,14.5,530,85.0,11.0,17.5,12.0,3.1,60,Medium
Real Valladolid,La Liga,Purple,Jose Zorrilla,4-4-2,Defensive,48,60,50.0,62.0,33.0,11.5,470,82.0,13.8,19.5,13.8,3.9,45,Low
Augsburg,Bundesliga,Red/Green,WWK Arena,4-4-2,Counter,55,62,57.0,64.0,38.0,12.5,500,83.5,12.8,18.8,13.2,3.6,52,Low
Fulham,Premier League,White,Craven Cottage,4-2-3-1,Balanced,60,58,62.5,59.0,42.5,13.8,520,85.0,11.0,17.5,12.0,3.0,58,Medium
Udinese,Serie A,Black/White,Dacia Arena,3-5-2,Defensive,52,57,54.0,58.0,36.0,12.0,490,83.0,12.5,18.5,13.0,3.5,50,Low
Osasuna,La Liga,Red,El Sadar,4-3-3,Pressing,60,55,62.0,56.0,42.0,13.8,520,85.0,11.2,17.8,12.0,3.1,58,Medium
Koln,Bundesliga,Red/White,RheinEnergie,4-2-3-1,Pressing,58,60,60.0,61.5,40.5,13.5,510,84.2,11.8,18.2,12.8,3.3,56,Medium
Brentford,Premier League,Red/White,Brentford Community,3-5-2,Direct,62,55,64.0,56.0,43.0,14.2,510,84.5,11.0,17.5,12.0,3.0,60,Medium
Empoli,Serie A,Blue,Castellani,4-3-1-2,Balanced,50,60,52.0,61.0,35.0,12.0,500,83.5,12.8,18.8,13.5,3.6,50,Low
Mallorca,La Liga,Red/Black,Son Moix,5-3-2,Defensive,48,55,50.0,57.0,33.0,11.5,480,82.5,13.5,19.0,13.5,3.7,48,Low
Bochum,Bundesliga,Blue,Ruhrstadion,4-2-3-1,Defensive,52,65,54.0,66.0,36.0,12.0,490,83.0,13.0,19.5,13.8,3.8,50,Low
Nottingham Forest,Premier League,Red,City Ground,4-3-3,Counter,55,60,57.0,62.0,38.0,13.0,500,84.0,12.5,18.5,13.0,3.4,54,Low
Salernitana,Serie A,Maroon,Arechi,3-5-2,Defensive,45,70,47.0,72.0,30.0,11.0,480,82.0,14.0,20.0,14.5,4.0,45,Low
Cadiz,La Liga,Yellow,Mirandilla,4-4-2,Defensive,42,65,44.0,67.0,28.0,10.5,460,81.5,14.5,20.5,15.0,4.2,42,Low
Heidenheim,Bundesliga,Red,Voith Arena,4-2-3-1,Counter,50,62,52.0,64.0,35.0,12.0,500,83.5,13.2,19.2,13.5,3.7,48,Low
Burnley,Premier League,Claret/Turquoise,Turf Moor,4-4-2,Possession,48,68,50.0,70.0,34.0,11.8,530,85.5,12.5,18.0,13.0,3.5,52,Medium